,19_1,19_1_gen,19_2,19_2_gen,19_3,19_3_gen,19_4,19_4_gen,19_5,19_5_gen,19_6,19_6_gen,19_7,19_7_gen,19_8,19_8_gen,19_9,19_9_gen,19_10,19_10_gen,19_11,19_11_gen,19_12,19_12_gen
60,클래시 오브 클랜,전략,심쿵 소개팅 - 동네 이성친구 사귀기,소셜,궁정계,롤플레잉,위 베어 베어스 더 퍼즐,퍼즐,에픽세븐,롤플레잉,제5인격,어드벤처,오크: 종족의 계승자,롤플레잉,꿈의 정원 (Gardenscapes),캐주얼 게임,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",카지노,세븐나이츠,롤플레잉,위피 - 동네 친구가 필요할 때,소셜,BTS WORLD,캐주얼 게임
61,열렙전사:방치형RPG with NAVER WEBTOON,롤플레잉,라스트 쉘터 (Last Shelter: Survival),전략,페이트/그랜드 오더,롤플레잉,뮤오리진2,롤플레잉,꿈의 정원 (Gardenscapes),캐주얼 게임,"극한직업:RICH-재벌 키우기 전략 SRPG, 독창적인 시뮬레이션 게임",시뮬레이션,마피아42,전략,아만다: 눈 높아도 괜찮은 프리미엄 소개팅,소셜,로드 모바일: 제국의 전쟁 - MMORPG,전략,삼국지:디펜스의 신,전략,엠파이어 & 퍼즐 (Empires & Puzzles),롤플레잉,모두의마블,보드
62,글램 - 모든 매력적인 만남,데이트,클래시 로얄,전략,천사성역,롤플레잉,위피 - 동네 친구가 필요할 때,소셜,밀리의 서재 - 독서와 무제한 친해지리,도서/참고자료,MARVEL 퓨처파이트,롤플레잉,SERIES ON - 네이버 시리즈 ON,동영상 플레이어/편집기,블리치 Mobile 3D,롤플레잉,라이프애프터,어드벤처,정오의 데이트,소셜,다음웹툰 - DAUM WEBTOON,만화,로드 모바일: 제국의 전쟁 - MMORPG,전략
63,꿈의 집 (Homescapes),캐주얼 게임,정오의 데이트,소셜,Pokémon GO,어드벤처,맨트라-원티드,롤플레잉,소녀전선,롤플레잉,모바일 레전드: Bang Bang,액션,블리치 Mobile 3D,롤플레잉,MARVEL 퓨처파이트,롤플레잉,원피스 트레저 크루즈,롤플레잉,세인트 세이야 : 각성,카드,랜덤 다이스(Random Dice) : PvP 디펜스,전략,글램 - 모든 매력적인 만남,데이트
64,컴투스프로야구2020,스포츠,좀비 스트라이커：데스 서바이벌 AFK RPG,롤플레잉,삼국지 조운장군전 - 캐주얼 전략 RPG 게임,롤플레잉,궁정계,롤플레잉,위피 - 동네 친구가 필요할 때,소셜,프리스타일2:플라잉덩크,스포츠,킹 오브 파이터 올스타,액션,ONE PIECE Bounty Rush,액션,마피아 시티,전략,리치리치,시뮬레이션,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",카지노,킹 오브 파이터 올스타,액션
65,글로리,롤플레잉,포트리스M,액션,"스와이프 - 세상의 모든 만남, 소개팅앱 1위!",라이프스타일,드래곤캠프 (Merge Dragons!),퍼즐,레이븐 : FESTIVAL,롤플레잉,프렌즈타운,퍼즐,Idle Heroes - 아이들 히어로즈,롤플레잉,아이돌마스터 밀리언 라이브! 시어터 데이즈,음악,V LIVE,엔터테인먼트,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",카지노,레이드: 그림자의 전설,롤플레잉,심쿵 소개팅 - 동네 이성친구 사귀기,소셜
66,SPOTV NOW(스포티비 나우) - 프리미엄 스포츠 생중계,스포츠,헌드레드 소울,액션,마스터탱커,롤플레잉,심쿵 소개팅 - 동네 이성친구 사귀기,소셜,심쿵 소개팅 - 동네 이성친구 사귀기,소셜,글램 - 모든 매력적인 만남,데이트,린: 더 라이트브링어,롤플레잉,꿈의 마을 (Township),캐주얼 게임,정오의 데이트,소셜,테라 클래식,롤플레잉,Tinder 새로운 친구를 발견해봐,라이프스타일,클래시 로얄,전략
67,V LIVE,엔터테인먼트,모바일 레전드: Bang Bang,액션,냥코 대전쟁,캐주얼 게임,정오의 데이트,소셜,피버 바스켓,스포츠,아만다: 눈 높아도 괜찮은 프리미엄 소개팅,소셜,"당연시 - 당신도 연애를 시작할 때♡, 미팅/소개팅/동네 친구 찾기",소셜,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",카지노,리치리치,시뮬레이션,테니스 클래시: 재미있는 스포츠 게임,스포츠,마피아42,전략,얼티밋 테니스,스포츠
68,버닝: 매지컬소드,롤플레잉,ANOTHER EDEN 시공을 넘는 고양이,롤플레잉,DRAGON BALL LEGENDS -드래곤 볼 레전즈-,액션,인공지능 소개팅 애나 - 목소리도 듣고 분석도 하고,소셜,린: 더 라이트브링어,롤플레잉,마피아 시티,전략,"Bigo Live (비고라이브) – 라이브방송, 영상채팅",소셜,로드 모바일: 제국의 전쟁 - MMORPG,전략,피망 섯다,카드,완미세계,롤플레잉,DX : 신 세기의 전쟁,롤플레잉,아만다: 눈 높아도 괜찮은 프리미엄 소개팅,소셜
69,스카이피플 (스피) : 서울대생이 만든 인증을 통한 안전한 소개팅 + 직장인 익명 커뮤니티,데이트,오늘도 환생,롤플레잉,드래곤 스카이 - 슈팅 방치형 RPG,롤플레잉,"당연시 - 당신도 연애를 시작할 때♡, 미팅/소개팅/동네 친구 찾기",소셜,강림 : 망령인도자,롤플레잉,라스트 쉘터 (Last Shelter: Survival),전략,앙톡 - 랜덤채팅 친구와 채팅하자,Social Networking,정오의 데이트,소셜,밀리의 서재 - 독서와 무제한 친해지리,도서/참고자료,SERIES ON - 네이버 시리즈 ON,동영상 플레이어/편집기,MLB 9이닝스 20,스포츠,SERIES ON - 네이버 시리즈 ON,동영상 플레이어/편집기
70,슈퍼파워몬스터,Role Playing,FIFA 축구,스포츠,ANOTHER EDEN 시공을 넘는 고양이,롤플레잉,밀리의 서재 - 독서와 무제한 친해지리,도서/참고자료,"극한직업:RICH-재벌 키우기 전략 SRPG, 독창적인 시뮬레이션 게임",시뮬레이션,창세기전 : 안타리아의 전쟁,롤플레잉,MLB 9이닝스 20,스포츠,스카이피플 (스피) : 서울대생이 만든 인증을 통한 안전한 소개팅 + 직장인 익명 커뮤니티,데이트,엠파이어 & 퍼즐 (Empires & Puzzles),롤플레잉,밀리의 서재 - 독서와 무제한 친해지리,도서/참고자료,모바일 레전드: Bang Bang,액션,밀리의 서재 - 독서와 무제한 친해지리,도서/참고자료
71,별이되어라!,롤플레잉,컴투스프로야구2020,스포츠,꿈의 마을 (Township),캐주얼 게임,아이러브니키,시뮬레이션,마피아 시티,전략,정오의 데이트,소셜,정오의 데이트,소셜,위버스 - Weverse,소셜,별이되어라!,롤플레잉,Age of Z,전략,호카게 닌자 스톰,기타,"포스텔러 - 신년운세, 무료운세, 사주, 타로, 궁합, 토정비결, 별자리, 손금, 풍수",엔터테인먼트
72,밀리의 서재 - 독서와 무제한 친해지리,도서/참고자료,더 킹 오브 파이터즈 98 UM온라인,롤플레잉,크루세이더 퀘스트,롤플레잉,히어로칸타레 with NAVER WEBTOON,롤플레잉,궁정계,롤플레잉,밀리의 서재 - 독서와 무제한 친해지리,도서/참고자료,Pokémon GO,어드벤처,갓수라: 운명을 지배하는 자,롤플레잉,스카이피플 (스피) : 서울대생이 만든 인증을 통한 안전한 소개팅 + 직장인 익명 커뮤니티,데이트,피망 뉴맞고 : 고스톱으로 대한민국 1등,카드,밀리의 서재 - 독서와 무제한 친해지리,도서/참고자료,마피아 시티,전략
73,정오의 데이트,소셜,위피 - 동네 친구가 필요할 때,소셜,별이되어라!,롤플레잉,프리스타일2:플라잉덩크,스포츠,하스스톤,카드,오크: 종족의 계승자,롤플레잉,네이버 클라우드 - NAVER Cloud,생산성,"Bigo Live (비고라이브) – 라이브방송, 영상채팅",소셜,세븐나이츠,롤플레잉,MARVEL 퓨처파이트,롤플레잉,글램 - 모든 매력적인 만남,데이트,한게임 포커,카지노
74,이사만루2019,스포츠,소울아크: 시즌2 리유니온,롤플레잉,테이크미 - Take Me Video chat 화상채팅,소셜,아리엘,롤플레잉,창세기전 : 안타리아의 전쟁,롤플레잉,"포스텔러 - 신년운세, 무료운세, 사주, 타로, 궁합, 토정비결, 별자리, 손금, 풍수",엔터테인먼트,Z Day: 영웅 전략 전쟁 | 군대 생존 MMO,전략,새 천하를 열다,전략,"스와이프 - 세상의 모든 만남, 소개팅앱 1위!",라이프스타일,모바일 레전드: Bang Bang,액션,세븐나이츠,롤플레잉,별이되어라!,롤플레잉
75,크루세이더 퀘스트,롤플레잉,인공지능 소개팅 애나 - 목소리도 듣고 분석도 하고,소셜,밀리의 서재 - 독서와 무제한 친해지리,도서/참고자료,"스와이프 - 세상의 모든 만남, 소개팅앱 1위!",라이프스타일,레이더스,롤플레잉,"스와이프 - 세상의 모든 만남, 소개팅앱 1위!",라이프스타일,로드 모바일: 제국의 전쟁 - MMORPG,전략,피망 뉴맞고 : 고스톱으로 대한민국 1등,카드,프린세스 커넥트! Re:Dive,롤플레잉,Pokémon GO,어드벤처,Age of Z,전략,에픽세븐,롤플레잉
76,심쿵 소개팅 - 동네 이성친구 사귀기,소셜,게임이망했다 : 세로로하는RPG게임,롤플레잉,FIFA 축구,스포츠,손오공디펜스,전략,"당연시 - 당신도 연애를 시작할 때♡, 미팅/소개팅/동네 친구 찾기",소셜,프렌즈팝콘,퍼즐,Marvel 올스타 배틀,액션,오크: 종족의 계승자,롤플레잉,모바일 레전드: Bang Bang,액션,랜덤 다이스(Random Dice) : PvP 디펜스,전략,소녀전선,롤플레잉,게임빌프로야구 슈퍼스타즈,스포츠
77,파이널 판타지 XV: 새로운 제국 [Final Fantasy XV],전략,"당연시 - 당신도 연애를 시작할 때♡, 미팅/소개팅/동네 친구 찾기",소셜,클래시 로얄,전략,페이트/그랜드 오더,롤플레잉,삼국지킹덤디펜스,전략,스카이피플 (스피) : 서울대생이 만든 인증을 통한 안전한 소개팅 + 직장인 익명 커뮤니티,데이트,밀리의 서재 - 독서와 무제한 친해지리,도서/참고자료,모바일 레전드: Bang Bang,액션,MLB 9이닝스 20,스포츠,V LIVE,엔터테인먼트,"포스텔러 - 신년운세, 무료운세, 사주, 타로, 궁합, 토정비결, 별자리, 손금, 풍수",엔터테인먼트,위닝일레븐 클럽 매니저,스포츠
78,천사성역,롤플레잉,YouTube Music,음악/오디오,라그나로크M: 시즌2 빛과 그림자,롤플레잉,붕괴3rd,액션,블리치 - 사신 격투,롤플레잉,로드 모바일: 제국의 전쟁 - MMORPG,전략,라이프애프터,어드벤처,"당연시 - 당신도 연애를 시작할 때♡, 미팅/소개팅/동네 친구 찾기",소셜,YouTube Music,음악/오디오,YouTube Music,음악/오디오,아만다: 눈 높아도 괜찮은 프리미엄 소개팅,소셜,퍼즐앤드래곤,퍼즐
79,붕괴3rd,액션,뮤오리진2,롤플레잉,프렌즈팝콘,퍼즐,신삼국지 모바일-코에이 테크모 인증,전략,Pokémon GO,어드벤처,"당연시 - 당신도 연애를 시작할 때♡, 미팅/소개팅/동네 친구 찾기",소셜,컴투스프로야구매니저,스포츠,하라M,롤플레잉,Yu-Gi-Oh! Duel Links,카드,스카이피플 (스피) : 서울대생이 만든 인증을 통한 안전한 소개팅 + 직장인 익명 커뮤니티,데이트,세인트 세이야 : 각성,카드,한게임 섯다,카드
80,러브앤프로듀서,롤플레잉,V LIVE,엔터테인먼트,앙톡 - 랜덤채팅 친구와 채팅하자,Social Networking,Guns of Glory: 왕을 위한 장대한 군대 구축,전략,"캠톡S - 화상채팅,영상채팅",커뮤니케이션,Idle Heroes - 아이들 히어로즈,롤플레잉,"VLLO (구 Vimo / 비모) - 동영상 편집 어플, Vlog 편집 배속 어플",동영상 플레이어/편집기,밀리의 서재 - 독서와 무제한 친해지리,도서/참고자료,소녀전선,롤플레잉,"스픽 (Speak): 영어회화, 스피킹, 발음",교육,라스트오리진,롤플레잉,뮤오리진2,롤플레잉
81,"당연시 - 당신도 연애를 시작할 때♡, 미팅/소개팅/동네 친구 찾기",소셜,스카이피플 (스피) : 서울대생이 만든 인증을 통한 안전한 소개팅 + 직장인 익명 커뮤니티,데이트,"당연시 - 당신도 연애를 시작할 때♡, 미팅/소개팅/동네 친구 찾기",소셜,"Bigo Live (비고라이브) – 라이브방송, 영상채팅",소셜,MLB 9이닝스 20,스포츠,블리치 - 사신 격투,롤플레잉,킹스레이드,롤플레잉,브라운더스트 - 9vs9 턴제 PvP,롤플레잉,하라M,롤플레잉,위닝일레븐 클럽 매니저,스포츠,한게임 섯다,카드,꿈의 마을 (Township),캐주얼 게임
82,그랜드체이스,롤플레잉,프렌미,데이트,파이널 판타지 XV: 새로운 제국 [Final Fantasy XV],전략,브라운더스트 - 9vs9 턴제 PvP,롤플레잉,Idle Heroes - 아이들 히어로즈,롤플레잉,에픽세븐,롤플레잉,"스와이프 - 세상의 모든 만남, 소개팅앱 1위!",라이프스타일,심쿵 소개팅 - 동네 이성친구 사귀기,소셜,"VLLO (구 Vimo / 비모) - 동영상 편집 어플, Vlog 편집 배속 어플",동영상 플레이어/편집기,컴투스프로야구매니저,스포츠,드래곤캠프 (Merge Dragons!),퍼즐,Minecraft,아케이드
83,데일리 판타지,롤플레잉,액스(AxE),롤플레잉,브라운더스트 - 9vs9 턴제 PvP,롤플레잉,라스트 쉘터 (Last Shelter: Survival),전략,신명,롤플레잉,MLB 퍼펙트 이닝 2019,스포츠,Toon Blast,퍼즐,피버 바스켓,스포츠,쌍삼국지,롤플레잉,ONE PIECE Bounty Rush,액션,한게임 포커,카지노,드래곤 스카이 - 슈팅 방치형 RPG,롤플레잉
84,Analog Brooklyn,Photo & Video,붕괴3rd,액션,위피 - 동네 친구가 필요할 때,소셜,삼국지킹덤디펜스,전략,모바일 레전드: Bang Bang,액션,펜타스톰,액션,"캠톡S - 화상채팅,영상채팅",커뮤니케이션,제5인격,어드벤처,Toon Blast,퍼즐,라이프애프터,어드벤처,컴투스프로야구매니저,스포츠,YouTube Music,음악/오디오
85,Toon Blast,퍼즐,PicsArt Photo Editor: 콜라주 메이커 & 사진 편집기,사진,Toon Blast,퍼즐,피버 바스켓,스포츠,별이되어라!,롤플레잉,좀비 스트라이커：데스 서바이벌 AFK RPG,롤플레잉,러브앤프로듀서,롤플레잉,데스티니 차일드,롤플레잉,새 천하를 열다,전략,킹스레이드,롤플레잉,ANOTHER EDEN 시공을 넘는 고양이,롤플레잉,Idle Heroes - 아이들 히어로즈,롤플레잉
86,에픽세븐,롤플레잉,열렙전사:방치형RPG with NAVER WEBTOON,롤플레잉,레이더스,롤플레잉,라그나로크M: 시즌2 빛과 그림자,롤플레잉,디즈니팝,퍼즐,YouTube Music,음악/오디오,YouTube Music,음악/오디오,대항해의길,시뮬레이션,클래시 로얄,전략,Toon Blast,퍼즐,신삼국지 모바일-코에이 테크모 인증,전략,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",카지노
87,프렌즈팝,퍼즐,글로리,롤플레잉,행복의 저택,퍼즐,프렌즈팝콘,퍼즐,몬스터 길들이기,롤플레잉,드래곤 스카이 - 슈팅 방치형 RPG,롤플레잉,하쿠나 라이브 -  Live 방송,엔터테인먼트,신삼국지 모바일-코에이 테크모 인증,전략,Pokémon GO,어드벤처,캐리비안의 해적: 전쟁의 물결,전략,냥코 대전쟁,캐주얼 게임,세븐나이츠,롤플레잉
88,모바일 레전드: Bang Bang,액션,프렌즈팝콘,퍼즐,프렌미,데이트,2079 게이트식스,롤플레잉,정오의 데이트,소셜,Toon Blast,퍼즐,심쿵 소개팅 - 동네 이성친구 사귀기,소셜,Black Angel,롤플레잉,드래곤캠프 (Merge Dragons!),퍼즐,아이러브니키,시뮬레이션,콜 오브 듀티: 모바일,액션,"당연시 - 당신도 연애를 시작할 때♡, 미팅/소개팅/동네 친구 찾기",소셜
89,Guns of Glory: 왕을 위한 장대한 군대 구축,전략,나이츠크로니클,롤플레잉,PicsArt Photo Editor: 콜라주 메이커 & 사진 편집기,사진,Marvel 올스타 배틀,액션,라스트 쉘터 (Last Shelter: Survival),전략,앙톡 - 랜덤채팅 친구와 채팅하자,Social Networking,데스티니 차일드,롤플레잉,Age of Z,전략,킹스레이드,롤플레잉,위 베어 베어스 더 퍼즐,퍼즐,심쿵 소개팅 - 동네 이성친구 사귀기,소셜,프린세스 커넥트! Re:Dive,롤플레잉
90,풍신,롤플레잉,"사진 편집, 영상 편집,  콜라주 메이커를 하나로! 세계 유일의 어플, Instasize",사진,손오공디펜스,전략,앙톡 - 랜덤채팅 친구와 채팅하자,Social Networking,앙톡 - 랜덤채팅 친구와 채팅하자,Social Networking,DRAGON BALL LEGENDS -드래곤 볼 레전즈-,액션,eFootball PES 2020,스포츠,하스스톤,카드,삼국지:디펜스의 신,전략,"VLLO (구 Vimo / 비모) - 동영상 편집 어플, Vlog 편집 배속 어플",동영상 플레이어/편집기,YouTube Music,음악/오디오,Pokémon GO,어드벤처
91,대항해대전: 오션 앤 엠파이어,전략,신삼국지 모바일-코에이 테크모 인증,전략,레진코믹스 - 매일 무료 웹툰,만화,Pokémon GO,어드벤처,프렌즈마블,보드,V LIVE,엔터테인먼트,제5인격,어드벤처,Toon Blast,퍼즐,에픽세븐,롤플레잉,콜 오브 듀티: 모바일,액션,"Bigo Live (비고라이브) – 라이브방송, 영상채팅",소셜,골드스푼 : 자격을 갖춘 남녀를 위한 안전한 소개팅,소셜
92,페이트/그랜드 오더,롤플레잉,FINAL FANTASY BRAVE EXVIUS,Role Playing,프렌즈마블,보드,레이드: 그림자의 전설,롤플레잉,DRAGON BALL Z 폭렬격전,액션,클론다이크 어드벤처,시뮬레이션,마피아 시티,전략,원피스 트레저 크루즈,롤플레잉,꿈의 마을 (Township),캐주얼 게임,프렌즈타운,퍼즐,이터:던전의 포식자,롤플레잉,"캠톡S - 화상채팅,영상채팅",커뮤니케이션
93,ANOTHER EDEN 시공을 넘는 고양이,롤플레잉,eFootball PES 2020,스포츠,심쿵 소개팅 - 동네 이성친구 사귀기,소셜,하스스톤,카드,maybe-메이비:내가 만드는 이야기,시뮬레이션,레전드 오브 블루문-Legend of Bluemoon,롤플레잉,캔디크러쉬사가,캐주얼 게임,프렌즈타운,퍼즐,블리치 Mobile 3D,롤플레잉,탈리온,롤플레잉,SERIES ON - 네이버 시리즈 ON,동영상 플레이어/편집기,클론다이크 어드벤처,시뮬레이션
94,앙상블스타즈,시뮬레이션,파이널 판타지 XV: 새로운 제국 [Final Fantasy XV],전략,사무라이 쇼다운M(12),롤플레잉,Idle Heroes - 아이들 히어로즈,롤플레잉,YouTube Music,음악/오디오,FIFA 축구,스포츠,DRAGON BALL Z 폭렬격전,액션,VPN Tube – 익병 브라우징,기타,"Bigo Live (비고라이브) – 라이브방송, 영상채팅",소셜,이터:던전의 포식자,롤플레잉,정오의 데이트,소셜,마피아42,전략
95,제5인격,어드벤처,레진코믹스 - 매일 무료 웹툰,만화,포트리스M,액션,YouTube Music,음악/오디오,Toon Blast,퍼즐,태고신왕,롤플레잉,라스트 쉘터 (Last Shelter: Survival),전략,삼국지:략,전략,하스스톤,카드,클래시 로얄,전략,위닝일레븐 클럽 매니저,스포츠,스카이피플 (스피) : 서울대생이 만든 인증을 통한 안전한 소개팅 + 직장인 익명 커뮤니티,데이트
96,위닝일레븐 클럽 매니저,스포츠,삼국지 조운장군전 - 캐주얼 전략 RPG 게임,롤플레잉,펜타스톰,액션,프렌미,데이트,Z Day: 영웅 전략 전쟁 | 군대 생존 MMO,전략,SERIES ON - 네이버 시리즈 ON,동영상 플레이어/편집기,아리엘,롤플레잉,eFootball PES 2020,스포츠,"포스텔러 - 신년운세, 무료운세, 사주, 타로, 궁합, 토정비결, 별자리, 손금, 풍수",엔터테인먼트,러브앤프로듀서,롤플레잉,트라하,롤플레잉,피망 뉴맞고 : 고스톱으로 대한민국 1등,카드
97,기동전대:아이언사가,롤플레잉,Guns of Glory: 왕을 위한 장대한 군대 구축,전략,Guns of Glory: 왕을 위한 장대한 군대 구축,전략,MLB 퍼펙트 이닝 2019,스포츠,Yu-Gi-Oh! Duel Links,카드,"캠톡S - 화상채팅,영상채팅",커뮤니케이션,라그나로크M: 시즌2 빛과 그림자,롤플레잉,SERIES ON - 네이버 시리즈 ON,동영상 플레이어/편집기,라그나로크M: 시즌2 빛과 그림자,롤플레잉,궁정계,롤플레잉,제5인격,어드벤처,"스픽 (Speak): 영어회화, 스피킹, 발음",교육
98,앙톡 - 랜덤채팅 친구와 채팅하자,Social Networking,앙톡 - 랜덤채팅 친구와 채팅하자,Social Networking,캔디크러쉬사가,캐주얼 게임,다크에덴M,롤플레잉,프렌즈팝콘,퍼즐,maybe-메이비:내가 만드는 이야기,시뮬레이션,엠파이어 & 퍼즐 (Empires & Puzzles),롤플레잉,"캠톡S - 화상채팅,영상채팅",커뮤니케이션,로한M,롤플레잉,"포스텔러 - 신년운세, 무료운세, 사주, 타로, 궁합, 토정비결, 별자리, 손금, 풍수",엔터테인먼트,에픽세븐,롤플레잉,Toon Blast,퍼즐
99,캔디크러쉬사가,캐주얼 게임,애니팡3,퍼즐,던만추〜메모리아프레제〜,롤플레잉,eFootball PES 2020,스포츠,프로야구 H2,스포츠,린: 더 라이트브링어,롤플레잉,건쉽배틀 토탈워페어,전략,골든나이츠 유니버스,롤플레잉,라인 플레이 – 전세계 No.1 패션 게임,소셜,피망 섯다,카드,라그나로크M: 시즌2 빛과 그림자,롤플레잉,위 베어 베어스 더 퍼즐,퍼즐
